route_long_name,route_color,route_desc,agency_id,route_text_color,route_short_name,route_id,route_url,route_type
Route 101,006633,,drt,ffffff,101,101,,3
Route 112,006633,,drt,ffffff,112,112,,3
Route 121,006633,,drt,ffffff,121,121,,3
Route 216,006633,,drt,ffffff,216,216,,3
Route 224,006633,,drt,ffffff,224,224,,3
Route 227,006633,,drt,ffffff,227,227,,3
Route 301,006633,,drt,ffffff,301,301,,3
Route 302,006633,,drt,ffffff,302,302,,3
Route 319,006633,,drt,ffffff,319,319,,3
Route 392,006633,,drt,ffffff,392,392,,3
Route 403,006633,,drt,ffffff,403,403,,3
Route 405,006633,,drt,ffffff,405,405,,3
Route 407,006633,,drt,ffffff,407,407,,3
Route 409,006633,,drt,ffffff,409,409,,3
Route 410,006633,,drt,ffffff,410,410,,3
Route 411,006633,,drt,ffffff,411,411,,3
Route 419,006633,,drt,ffffff,419,419,,3
Route 421,006633,,drt,ffffff,421,421,,3
Route 423,006633,,drt,ffffff,423,423,,3
Route 502,006633,,drt,ffffff,502,502,,3
Route 507,006633,,drt,ffffff,507,507,,3
Route 605,006633,,drt,ffffff,605,605,,3
PULSE 900,cc6600,,drt,000000,900,900,,3
PULSE 901,cc6600,,drt,000000,901,901,,3
Route 902,006633,,drt,ffffff,902,902,,3
Route 905,006633,,drt,ffffff,905,905,,3
PULSE 915,cc6600,,drt,000000,915,915,,3
PULSE 916,cc6600,,drt,000000,916,916,,3
Route 917,006633,,drt,ffffff,917,917,,3
Route 920,006633,,drt,ffffff,920,920,,3
Route 921,006633,,drt,ffffff,921,921,,3
Route N1,0000ff,,drt,ffffff,N1,N1,,3
Route N2,0000ff,,drt,ffffff,N2,N2,,3
